,Ono_O0,Ono_O3,Ono_Oz,O_O0,O_O3,O_Oz,Oun_O0,Oun_O3,Oun_Oz
0,791.809873832699,820.2569917319313,742.074559610244,658.0543319601625,707.8677206716305,768.9538363473414,739.6194004683341,570.233322067509,726.5496137446291
1,791.043787466123,795.9275691054456,605.9111551477014,638.9917390012519,595.0919608375879,618.3161011551324,604.6388179418368,558.5194349272939,802.868764415226
2,792.223173810909,764.6640992711516,643.9336571911072,659.9959926900976,622.3236057084521,644.7444674346904,608.8587798674852,559.8631306219626,797.7999541056688
3,790.9642928266493,761.9618638635993,662.3909336979057,661.6842347280626,635.7299701930233,667.0246569935232,572.850852582844,572.0594932408097,795.8629778811077
4,784.5865295145672,771.3122623242663,659.72910395915,658.8200439133775,639.852056471572,667.5994340917842,586.5306148681353,566.3342984328833,795.3474184676107
5,738.563168973423,801.5332452376966,664.6020272718149,663.1658765331288,643.0327569097893,663.9259890811481,579.8643018555515,574.96765506809,796.0966285728614
6,695.6350218127178,820.9550119720981,664.1516582236256,667.2145918635221,645.6447511208456,665.4116789409743,590.1545603239804,578.5155837788889,789.0026536822608
7,698.6820194829985,812.2810375821327,668.6084625662974,669.3428463299314,649.0678746324465,671.7625297834737,592.7918553774666,584.7642758220107,793.5900413545529
8,698.6194405753231,807.4194566452153,671.6995446356879,672.5318406497821,658.5051720075181,671.7061178587685,596.3669614394382,592.7493920971589,790.9947861117331
9,695.9774262039368,810.4282296660199,680.4729517262734,676.8860302992725,661.8660048913428,670.8666218588784,600.121850501934,595.4235663222498,795.2053699589037
10,697.4999879939647,818.5633999413934,670.9532017461223,680.4848479985242,669.870654887837,683.9380235005169,602.4659031112743,599.0247599428693,792.4127871024547
11,701.1224701357993,818.0710466871154,674.5646893046098,684.7880479199224,667.7276362068385,685.7086653009297,610.176219215631,601.643849395445,795.1500974057866
12,701.9465273053178,825.3633295300002,688.611807255949,683.0328901074508,673.8837296146936,680.7119862504048,742.1318917253814,604.6595991735566,689.6790115520674
13,702.6092942068161,818.6709886512169,689.3112731640732,690.7788339453447,684.8485850162134,688.1782405759096,697.1990587368782,608.7420350269954,687.354962888251
14,699.2580372725869,825.7478330619484,693.9411406887912,696.4353557961866,668.2653184607003,691.4528154488493,627.8818363095596,612.1930411731885,678.3240669738489
15,713.0178155328795,820.4147052924205,698.917149451179,693.6587536002344,684.076536376976,693.3079701880184,642.9005217234869,616.3786018070873,680.0208946539091
16,706.2461355936706,750.8397877221744,701.3293020092585,705.1437369619679,682.6789442903267,698.0525193895185,645.2815031982163,615.0187803336983,758.3272143565816
17,711.0027260894661,758.3266807514605,702.5933373971886,693.0249179632435,673.2222772062252,698.1529080042046,647.7256077988619,625.3652104735373,755.5515281124508
18,701.7782625297747,759.6236833939236,702.5574736458094,705.2888962082064,682.7761724526816,707.5027330731223,642.4784183757565,624.7944541780382,756.0278481400786
19,712.8010097243161,764.8752211343057,715.3722783316732,700.7532570761754,690.8936537680994,697.9089809140442,742.1318917253814,671.7991523887017,757.9749549282839
20,712.993776783977,748.8313222891319,704.3638262081232,699.2062403770782,687.6583810855649,708.5672567448729,697.1990587368782,710.3965629038611,756.9917919498555
21,707.2408373422381,688.6015218830651,715.864198442612,713.6253660552817,684.6617864759027,703.9353421048365,627.8818363095596,719.202991285391,757.8781443730761
22,709.4682648450403,692.0490336239336,715.4126298759934,709.5840325216877,698.9883323734392,709.5996592573168,642.9005217234869,719.1376740883636,755.6882797224011
23,723.2611244589408,689.4874426252278,725.1289862923638,710.5262546567889,704.3635758817264,700.3203624662195,645.2815031982163,721.8960390406279,756.7986603816026
24,708.7064458389127,696.5593398255752,718.415453263896,724.7140215894308,694.079692272984,713.4691468341928,647.7256077988619,725.7981118752232,755.0109340585518
25,697.2442361993014,692.9247277187916,726.3024906146383,728.5651399803033,707.7946148605539,712.1086002354187,642.4784183757565,720.9778774574672,751.5289030857961
26,714.2258390169251,697.5105712561189,729.3588707131617,715.8420872637123,710.0311788548381,714.009212003407,653.0024779019885,726.1877997101427,753.1545556928186
27,699.8799796842899,696.7757476658024,727.9896687763941,722.5890179674024,698.7043687115138,711.1681156648405,648.8473153820286,729.2403204503096,748.2088087943268
28,720.9640518148676,690.5536312591836,723.3249117740519,734.7525070245186,714.0832585230226,715.4503604737291,648.3806571302457,731.8297478153338,753.4997027199361
29,716.0464727829244,679.0681841310453,735.6011519745562,723.3855977562368,710.9967378905918,716.9771587887419,653.5715610049378,724.9424618634947,749.9176780688526
