,Ono_O0,Ono_O3,Ono_Oz,O_O0,O_O3,O_Oz,Oun_O0,Oun_O3,Oun_Oz
0,141.91402292251587,132.2283217906952,107.67246603965756,140.79865908622742,139.34107708930972,128.94859695434576,111.67530608177185,134.60288000106812,107.2765200138092
1,141.95289611816406,133.45269393920898,105.78196191787725,140.82499408721924,139.83412194252014,132.44782400131203,103.52102613449091,127.34443283081055,114.4934298992157
2,138.8562560081482,131.5700500011444,108.16664004325867,138.30760192871094,136.96431803703308,129.11225295066833,104.65362596511835,130.96348786354065,112.75157904624939
3,137.90151238441467,134.3365879058838,113.1427628993988,136.1259639263153,135.97512030601501,130.17601108551025,109.88990211486816,130.383220911026,112.99294209480286
4,136.9645960330963,133.76838517189015,115.90369415283203,134.3390178680421,134.53286409378063,127.44165682792664,112.8843457698822,133.16031217575073,117.21270513534546
5,134.17463994026184,135.2889211177826,118.22549510002148,132.51238703727722,132.17841291427612,125.92442989349365,115.38748502731323,132.00685811042786,114.54391598701477
6,133.35220313072205,133.69196534156822,120.62592816352833,131.09334015846252,131.70059204101562,128.0446479320526,118.39738225936878,134.80635595321633,112.8547830581665
7,133.9964449405668,134.48048901557922,123.63220095634438,130.5263011455536,132.50012803077698,125.87428283691406,119.46676802635193,133.4034538269043,112.58812999725342
8,131.61256909370422,133.0771448612213,123.92626619338989,128.48725605010986,131.35825300216675,127.05643701553345,121.2988030910492,133.37794303894043,113.52714109420776
9,130.1910691261287,134.5294017791748,122.61984825134277,132.1623558998108,130.618901014328,125.43920993804932,121.40088987350464,133.17769598960876,112.08389091491699
10,129.64326190948464,134.7648088932035,123.39508032798744,131.40780997276306,128.9706559181211,123.05182003974915,121.79427886009216,132.44634199142433,112.2529022693634
11,130.2216510772705,132.97949194908188,122.94036984443619,127.64146828651405,129.09258389472961,122.33910298347473,121.74387907981873,134.33382415771507,112.14188003540039
12,130.2581329345703,130.72706580162048,123.31139302253723,129.82472276687622,125.79359197616577,120.99575185775757,120.8294563293457,131.5552179813385,113.31381392478943
13,125.40916991233826,130.6827540397644,124.50934886932373,129.7612607479091,125.76787090301514,122.0072021484375,122.92973613739014,129.42032408714294,112.70618009567261
14,126.6552848815918,130.0672481060028,124.01032280921936,127.53782725334167,123.58552789688065,123.38575387001038,125.5695390701294,128.6400229930873,111.10862493515015
15,125.34637689590454,128.44630122184753,125.48019576072693,126.88553190231323,123.4342348575592,123.13914608955383,125.54800415039062,126.76658821105957,111.80065679550171
16,124.9166989326477,128.64299201965332,123.3440580368042,128.09080910682678,124.14517664909363,118.81484389305115,122.91128396987915,127.65596604347229,116.54601812362671
17,123.60653805732727,127.59781789779663,125.06641602516174,130.43695402145386,125.2206060886383,119.88051104545593,124.45695924758911,126.10554504394531,114.92885875702086
18,123.63189196586609,127.24374508857727,122.97093486785889,126.09284830093384,123.8755419254303,108.87541508674622,126.16273403167725,125.94482111930847,117.13056802749816
19,123.6821219921112,124.93599891662643,126.45834875106812,125.84962606430054,123.67575716972351,110.3547830581665,121.88264393806503,125.33173084258988,115.92821097373962
20,121.2177951335907,125.06786894798279,123.77949094772339,125.31093502044678,124.90104508399963,115.69388890266418,118.62718629837036,123.85811376571655,118.62452197075072
21,120.56335186958313,125.22156715393112,121.8833339214325,123.19464182853699,121.84844708442643,111.79440593719482,117.7067699432373,124.10353302955582,114.87275695800781
22,120.38177800178528,124.05673789978027,126.29927182197571,127.43506193161011,122.74505710601807,112.5729079246521,116.905846118927,121.28656816482544,114.16084098815918
23,120.18985772132874,123.6685700416565,125.81284809112549,120.76692771911621,122.02911591529846,111.15184092521667,117.57216215133667,122.34464001655579,115.29696702957335
24,119.46368598937988,123.55250716209412,124.87523102760315,121.99760317802429,120.48122382164001,110.34802293777466,115.58650708198547,121.8800938129425,111.337853908537
25,118.52722382545471,125.10336565971375,121.56163001060486,122.10603904724121,120.8036379814148,115.55389404296875,117.37069892883301,120.82372403144836,126.64225792884827
26,118.96552610397339,120.23003602027893,126.26864194869995,121.11884593963623,120.73154830932617,111.25331091880798,116.58456301689148,124.32843327522278,113.23076462745667
27,117.26156187057495,120.55311799049377,119.88019704818726,124.96483516693115,119.604740858078,111.37105989456177,116.3314311504364,119.9468207359314,103.1111853122693
28,115.31470203399658,118.99733233451843,118.09472107887268,122.39417600631714,119.09253811836243,111.83079504966736,114.87945008277893,120.23705315589905,119.6133542060852
29,114.1215660572052,125.22673201560974,120.95650577545166,118.15278196334839,118.73646688461304,109.48948407173157,113.15137219429016,118.97100067138672,117.45308804512024
