,Ono_O0,Ono_O3,Ono_Oz,O_O0,O_O3,O_Oz,Oun_O0,Oun_O3,Oun_Oz
0,368.6711902767935,394.8795180547237,281.08215403528754,293.64474403898305,388.0250560448547,407.20538234935526,291.5398882017189,321.6951880951333,428.32433721276146
1,400.76874985222116,388.30555209546657,443.3613364349212,296.0111770288122,313.8663799594827,431.0235818327588,402.1351908155281,322.0342431438298,381.2849325206514
2,321.6231696580396,386.25158693392177,325.3317530140915,295.8838289569229,301.22807208975945,396.79144548207665,346.47840162637755,290.87893924481983,336.26438589178167
3,354.78533994875943,382.99974272569034,392.556048557683,294.04776464356195,300.0504736104418,437.55336602898694,425.48871840950585,287.78266149150727,366.6314928594212
4,343.1739449168693,382.24444940962314,310.20365840409886,294.9571010715036,299.76220548762814,391.43382010764367,382.23882593384377,283.83281916481087,344.4636871262308
5,342.0088541882388,380.70462680733766,315.17720276040166,295.4405158985945,299.2499888152833,387.042325649497,389.407459270606,285.1002648191555,345.26047016566724
6,336.3402884317395,386.64893260569414,297.1354857571382,294.92809787952393,300.7557248798983,375.3997301448327,381.99326354495287,284.9045547781057,336.47862072154396
7,332.23587895436935,385.59419148637335,302.376945450392,295.52404318622854,301.88987377105786,359.8197608529042,428.119486862128,286.11543231937117,336.37927680883683
8,331.7293233824607,383.4916145223475,303.3118524552609,298.7744172747654,301.9993649258016,362.3475318217211,427.9521347511774,288.9064089907441,334.1882097509222
9,326.4629053013226,429.55952427451433,309.2440199639305,298.77531600438107,303.47447938174196,346.78750630761476,425.09383918100104,286.05032456157454,335.37883491399003
10,328.73892197468274,361.36293767160686,313.2176789180037,301.1112502924963,303.7432809200373,346.129543439384,392.45946460126186,286.9954530926711,334.95635820117525
11,328.2910530451985,390.44349104328336,310.0393192476213,307.89870262487716,304.61198455193045,344.6134634772371,424.6516255767611,292.65182666992877,335.0446486925841
12,327.3609672729366,406.68621408631356,317.5874255147031,304.80283979760776,304.168537396638,353.1287950663577,394.7594650534806,289.9757039513495,336.0390407699492
13,328.4568485757885,343.95876625064096,319.3224290113882,306.4756862187001,309.4643792059391,341.31528061556503,379.9837397144521,291.4830068859493,332.3152172905782
14,328.7541045617617,359.632512980915,319.3894335786342,309.92175172875733,307.9647702690415,342.2403755497154,390.60536368389387,312.1237836292145,335.3174736601758
15,332.6497252860178,361.86739531981124,323.7859116086908,310.6812091864278,311.45815217493254,338.8327273219108,393.9401329422973,321.7422585133974,332.2930617068835
16,331.83883368762156,407.85346697348905,330.81577069818394,310.6538993821655,315.4919744176823,346.12098014166696,389.39794025273255,323.31470860876044,335.95842848074994
17,332.3086038712115,360.4653094783154,336.17972131074873,312.9379128833511,315.57069240635536,331.0352481321814,386.8284052878785,323.6077750371729,336.4212674070572
18,330.2840742659293,423.61143569100665,332.5197386206803,317.1927263733266,323.8756393583537,342.00303099307723,428.0738888780541,319.2973973951005,338.8855582070918
19,331.8012907169089,396.7711151578811,346.14559193315955,319.4798752622664,322.3963671335344,341.042738010721,387.03476263061975,328.75266537549345,337.51377354985186
20,329.9381119338305,436.2712159565231,340.18673383944724,320.4513282733877,324.5616703530176,348.47299713420443,387.8774582266877,329.1082698850645,337.06482255948805
21,338.5967011309188,413.99390752484635,342.1533997241307,324.0976262759818,324.9055771279331,345.878327762823,410.2473871976042,332.8268562078762,344.69560790594636
22,336.33682307388216,414.19774946528787,349.4127820919836,322.26602550575666,327.3802383802701,346.38599972364466,391.438013035862,330.6604280286337,339.8510768573706
23,341.7926549633025,412.7200245322415,351.8319095581282,326.87440623509855,328.8329391679891,344.7100024109494,404.40461910287706,330.19028370701045,346.52327497106955
24,337.2177666250287,424.169064101568,417.16934584834706,328.581226549473,331.20602251145,351.0630682851449,408.47089461473865,336.4496152585315,348.445918367635
25,343.3909328995328,435.0383081590341,420.06188388334783,338.358873119629,332.050195872582,349.7782212407036,407.01156669381857,340.5918805135741,346.70472686790055
26,344.6484529498651,410.9733102843074,424.5747586911095,335.1325223261484,336.40398403084055,347.81741037214357,395.1635051382139,312.80140359138306,353.5469085393983
27,352.25200222019373,315.22873428350033,336.3150587508473,338.8245960804857,338.2535210542109,356.5228099737208,397.7984263598677,322.97875222068046,357.75696042920595
28,352.25655848897793,309.5636610470897,424.70845821094406,341.82499971099367,344.7830928202027,350.43074441646655,412.43120483634516,319.42719095204075,358.2515890986337
29,349.77664900951305,307.6670723673504,339.9673583872567,344.8812260210467,348.57606965259106,360.8618107042839,399.2682193891188,332.2168128353941,357.9208011008068
