,Ono_O0,Ono_O3,Ono_Oz,O_O0,O_O3,O_Oz,Oun_O0,Oun_O3,Oun_Oz
0,492.538873215442,473.59815600730474,474.24129620566043,445.8971228195771,474.26096289182397,474.3212306741003,462.9260124208711,475.5050886489014,479.3945697033883
1,493.92669348510674,469.91272519674544,478.2955471431224,446.35841968612027,473.64658797983526,476.1117273347837,468.33581350203843,476.4162379337436,473.6938163196934
2,494.16873715692356,470.6558223783574,476.93610982278506,434.9710911778738,470.41766297732823,479.98542861289667,470.72479349833793,475.66061788325015,480.6146606136046
3,502.42708793778894,472.0240354873133,468.45972145217803,446.196129098739,473.9320354569465,476.678827482886,465.6059753221417,475.989872239549,435.97225203413836
4,499.49029361832027,478.62575136022303,475.56896935761927,416.50889853125994,471.7119215161771,473.937109154703,468.7365019713784,426.0294112133644,430.9230083432765
5,500.3718810756986,471.67411690596157,472.1006180593027,407.0695380188981,472.59127727922646,472.8005354272143,474.84502436196954,437.04258504736123,432.6041054945966
6,487.12035220532505,475.30050851008,480.0288341307256,419.47971643499255,474.0803615575648,473.13698967145984,473.0080736736579,432.55080463757486,431.86546479514163
7,483.57018255486196,480.15637490440196,474.7096282571822,419.50335128558135,471.8086325797114,474.7149298349143,472.5522798617386,427.60562267524836,434.34275129982746
8,467.5263715129347,477.9971634276218,470.80061107209133,414.6640477323825,467.17005790723374,556.0545321661039,467.4941077223093,429.5295121841511,428.7185297565655
9,466.1704276832125,473.23260997115705,472.77338259166686,416.87979314104643,472.79728723262826,530.7224172953067,472.00834295568853,429.5141081549272,429.31258394007307
10,458.2693914567474,480.4266460200942,475.04747417579154,412.00294607848195,475.7697368111352,521.7514902432818,479.64638318861677,431.8594401614217,429.2694540006998
11,477.93225688664637,478.46919829330085,473.74016290322623,451.7828069624184,423.4120997027106,519.5594893258838,479.1130739367295,431.3511718643934,436.08070067648333
12,462.89716361158384,473.6958382943701,475.0507807222755,453.23989698614884,423.6266084673352,520.1189972733658,476.2218149662344,430.75064054303544,433.3679798292021
13,458.04732141830124,472.0726236361032,468.9394974896554,452.5272727403033,421.22529025759815,519.9436267340607,480.17955785904303,422.12754062871403,433.01944874504005
14,461.30822337086664,474.57800225236906,472.6832544247883,458.7575932038432,422.75920518468604,516.6062259467549,477.59226315978367,433.28223162383074,433.2949871835764
15,463.47651568225086,459.08825241703767,477.1050425178178,452.9055131559078,422.8924965996754,526.951109898803,477.84282745360383,432.7173076115369,430.0029150140625
16,464.4519191473148,474.11808150565673,473.4570366482057,450.7373761269477,419.5449158848213,525.1709212688762,472.59391765404433,426.41295205195416,429.45765858665567
17,470.5266992256948,464.5327614580337,453.2136766770785,449.423775237679,418.9403661257812,521.894097256001,478.2379107134423,430.6102047154351,429.2200199175846
18,469.2797226634674,463.9420003204315,450.79442957959105,451.10210765894294,424.19819826427766,515.2147883806646,471.8952187921373,432.2086144533741,430.0135060144434
19,434.0641178035033,465.657878353667,448.99801551690155,450.58147233755585,419.7534351833594,517.7874681313518,473.5613402643199,430.552673199654,426.3714551948687
20,425.2121471461763,465.8530678471544,443.3524333217929,457.44020360394177,409.8009280501654,517.3459249229642,471.4916127122133,431.1174421788358,426.5795096341275
21,435.0715349441889,467.18183658128714,450.52649439957764,453.0365584606444,420.2669615933905,519.685891463126,480.74474821888504,431.0662171065695,429.93127050292065
22,429.85212672513137,466.52285859175845,486.4150508347215,454.50592151889646,418.1202012172802,515.4073679172685,474.68741261116975,429.61570383887124,431.85043336395574
23,432.20665899897364,477.3316571643448,484.7520425668229,455.59032248262554,420.5503014880859,517.0209974097518,472.16465246560995,431.18263249887116,427.254581914394
24,436.0675653333804,470.2038285711647,490.1661302598395,449.2920853637599,416.4365068376918,514.801847290352,475.5384742379628,429.5101094686528,426.2115586960463
25,429.8164808115399,466.0081402041187,491.1745779082396,451.9621005758081,422.05448905658614,517.5122214441166,462.55747708150125,437.0563340600955,433.95279132881905
26,433.7000749348418,470.32486688225964,483.75603242567666,450.0240640704664,418.7487988628449,519.0684598653015,476.04455264627273,427.78777973579565,443.3498514711115
27,432.20983897594647,472.50724571466395,484.21069534507114,445.8722626474717,418.29909350819236,521.3415809137464,473.945410827846,432.2553198221381,443.80772808216744
28,462.0689656651928,479.04972417793783,483.3544955927877,450.49340251691416,419.5524191429003,522.0200789647903,473.73449620813597,463.21307838202046,443.9690997218949
29,485.189197243541,467.3901264305354,490.5900656094459,448.91660130700893,416.11038113532436,513.4723632593525,471.32356917198683,471.41022709633114,444.71063824507945
